2026-03-19 17:55:36,"[8.8, 6.1, 9.1, 3.0, 0.0, 3.0, 0.0, 0.0]",12517511168,17119608832,73.1,"('C:\\', 994459025408, 999527804928)","('G:\\', 211006767104, 215822106624)","('H:\\', 209933025280, 214748364800)"
2026-03-19 17:55:36,"[9.1, 0.0, 0.0, 3.0, 0.0, 0.0, 9.1, 3.0]",12516667392,17119608832,73.1,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:37,"[20.6, 15.6, 9.4, 9.4, 0.0, 3.0, 3.1, 6.2]",12518547456,17119608832,73.1,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:37,"[11.8, 12.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12434923520,17119608832,72.6,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:38,"[11.4, 3.0, 3.0, 3.0, 3.0, 9.1, 0.0, 0.0]",12450050048,17119608832,72.7,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:38,"[6.1, 15.2, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12447305728,17119608832,72.7,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:39,"[17.1, 3.1, 12.5, 3.1, 9.4, 0.0, 0.0, 0.0]",12448296960,17119608832,72.7,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:39,"[15.2, 6.1, 9.1, 3.0, 0.0, 0.0, 3.0, 9.1]",12446994432,17119608832,72.7,"('C:\\', 994459090944, 999527804928)","('G:\\', 211006828544, 215822106624)","('H:\\', 209933086720, 214748364800)"
2026-03-19 17:55:40,"[5.9, 3.0, 0.0, 6.1, 0.0, 0.0, 0.0, 3.0]",12448272384,17119608832,72.7,"('C:\\', 994459111424, 999527804928)","('G:\\', 211006849024, 215822106624)","('H:\\', 209933107200, 214748364800)"
2026-03-19 17:55:40,"[5.9, 12.1, 3.0, 6.1, 0.0, 0.0, 0.0, 3.0]",12448145408,17119608832,72.7,"('C:\\', 994459111424, 999527804928)","('G:\\', 211006849024, 215822106624)","('H:\\', 209933107200, 214748364800)"
2026-03-19 17:55:41,"[6.1, 12.5, 0.0, 6.2, 3.1, 0.0, 0.0, 0.0]",12447047680,17119608832,72.7,"('C:\\', 994459111424, 999527804928)","('G:\\', 211006849024, 215822106624)","('H:\\', 209933107200, 214748364800)"
